date,followers_count,following_count,media_count,engagement_rate,average_likes,average_comments,comments_to_likes_ratio,weekly_posts,account,daily_gain,posts_per_day,month,growth_rate,index_100,daily_growth_rel
2024-01-01,102769,1603,9996,1.827,1870.6,6.6,0.353,15.0,everithingmotoracing,27.0,2.142857142857143,2024-01,0.02627251408498672,100.0,
2024-01-02,102775,1603,9996,1.826,1866.4,10.5,0.563,17.0,everithingmotoracing,6.0,2.4285714285714284,2024-01,0.005837995621503284,100.00583833646333,5.838336463326321e-05
2024-01-03,102779,1604,9996,1.945,1988.6,10.7,0.538,15.0,everithingmotoracing,4.0,2.142857142857143,2024-01,0.0038918456104846317,100.00973056077223,3.891997080995857e-05
2024-01-04,102775,1604,9996,1.883,1923.1,12.3,0.64,16.0,everithingmotoracing,-4.0,2.2857142857142856,2024-01,-0.0038919970810021897,100.00583833646333,-3.8918456104819477e-05
2024-01-05,102780,1604,9996,1.92,1960.3,13.1,0.668,15.0,everithingmotoracing,5.0,2.142857142857143,2024-01,0.004864759680871765,100.01070361684945,4.864996351261475e-05
2024-01-06,102785,1604,9996,1.568,1601.3,10.7,0.668,14.0,everithingmotoracing,5.0,2.0,2024-01,0.004864523033516564,100.01556889723555,4.864759680867081e-05
2024-01-07,102791,1604,9996,1.655,1687.4,13.9,0.824,15.0,everithingmotoracing,6.0,2.142857142857143,2024-01,0.00583708690449553,100.02140723369888,5.8374276402206604e-05
2024-01-08,102783,1604,9996,1.57,1601.5,11.8,0.737,14.0,everithingmotoracing,-8.0,2.0,2024-01,-0.007783388303513226,100.0136227850811,-7.782782539322852e-05
2024-01-09,102781,1603,9996,1.621,1653.2,13.0,0.786,13.0,everithingmotoracing,-2.0,1.8571428571428572,2024-01,-0.0019458849398235082,100.01167667292665,-1.9458470758793034e-05
2024-01-10,102786,1603,9996,1.637,1668.3,13.9,0.833,15.0,everithingmotoracing,5.0,2.142857142857143,2024-01,0.00486447570680832,100.01654195331278,4.8647123495504374e-05
2024-01-11,102781,1605,9996,1.746,1778.3,15.9,0.894,16.0,everithingmotoracing,-5.0,2.2857142857142856,2024-01,-0.004864712349558771,100.01167667292665,-4.8644757068116995e-05
2024-01-12,102773,1605,9996,1.836,1870.6,16.1,0.861,15.0,everithingmotoracing,-8.0,2.142857142857143,2024-01,-0.00778414564136495,100.00389222430887,-7.783539759298463e-05
2024-01-13,102774,1605,9996,1.943,1982.8,14.6,0.736,16.0,everithingmotoracing,1.0,2.2857142857142856,2024-01,0.0009730087376184638,100.0048652803861,9.730182051637115e-06
2024-01-14,102769,1603,9996,2.063,2097.8,21.9,1.044,16.0,everithingmotoracing,-5.0,2.2857142857142856,2024-01,-0.004865280386108652,100.0,-4.865043688095927e-05
2024-01-15,102779,1603,9996,2.088,2124.7,21.5,1.012,17.0,everithingmotoracing,10.0,2.4285714285714284,2024-01,0.00972961402621158,100.00973056077223,9.730560772225338e-05
2024-01-16,102783,1603,9996,2.0,2034.8,20.4,1.003,17.0,everithingmotoracing,4.0,2.4285714285714284,2024-01,0.003891694151756613,100.0136227850811,3.89184561049305e-05
2024-01-17,102790,1604,9996,2.063,2097.3,23.1,1.101,16.0,everithingmotoracing,7.0,2.2857142857142856,2024-01,0.006810000972857282,100.02043417762165,6.810464765583113e-05
2024-01-18,102812,1604,9996,1.943,1978.3,18.9,0.955,13.0,everithingmotoracing,22.0,1.8571428571428572,2024-01,0.021398280356378634,100.04184141132053,0.00021402860200403495
2024-01-19,102828,1604,9996,1.978,2011.3,22.3,1.109,16.0,everithingmotoracing,16.0,2.2857142857142856,2024-01,0.015559964212082313,100.05741030855609,0.00015562385713718818
2024-01-20,102856,1604,9996,1.845,1882.3,15.6,0.829,20.0,everithingmotoracing,28.0,2.857142857142857,2024-01,0.02722252469471883,100.08465587871828,0.00027229937371142654
2024-01-21,102928,1604,9996,1.92,1962.3,13.7,0.698,18.0,everithingmotoracing,72.0,2.5714285714285716,2024-01,0.0699518109746619,100.15471591627825,0.0007000077778642755
2024-01-22,102995,1604,9996,2.482,2542.5,14.1,0.555,20.0,everithingmotoracing,67.0,2.857142857142857,2024-01,0.06505170153890966,100.2199106734521,0.000650940463236438
2024-01-23,103009,1604,9996,2.726,2791.9,15.7,0.562,19.0,everithingmotoracing,14.0,2.7142857142857144,2024-01,0.013591045442631226,100.2335334585332,0.0001359289285887133
2024-01-24,103059,1604,9996,2.847,2918.5,15.2,0.521,22.0,everithingmotoracing,50.0,3.142857142857143,2024-01,0.048515898659990876,100.28218626239432,0.00048539448009399244
2024-01-25,103115,1604,9996,3.627,3719.6,20.5,0.551,26.0,everithingmotoracing,56.0,3.7142857142857144,2024-01,0.05430829656209087,100.33667740271872,0.0005433780649919395
2024-01-26,103191,1604,9996,4.057,4158.7,27.7,0.666,23.0,everithingmotoracing,76.0,3.2857142857142856,2024-01,0.07364983380333556,100.41062966458757,0.000737041167628405
2024-01-27,103372,1604,9996,3.652,3746.0,29.3,0.782,20.0,everithingmotoracing,181.0,2.857142857142857,2024-01,0.1750957706148667,100.5867528145647,0.0017540289366320128
