date,followers_count,following_count,media_count,engagement_rate,average_likes,average_comments,comments_to_likes_ratio,weekly_posts,account,daily_gain,posts_per_day,month,growth_rate
2023-12-31,4580,268,292,36.231,1646.2,13.2,0.802,8.0,overtake,,1.1428571428571428,2023-12,
2024-01-01,4603,267,294,34.015,1554.2,11.5,0.74,8.0,overtake,23.0,1.1428571428571428,2024-01,0.49967412557028024
2024-01-02,4645,268,295,31.126,1436.3,9.5,0.661,7.0,overtake,42.0,1.0,2024-01,0.9041980624327234
2024-01-03,4695,269,295,40.792,1905.1,10.1,0.53,7.0,overtake,50.0,1.0,2024-01,1.0649627263045793
2024-01-04,4753,270,296,42.348,2002.6,10.2,0.509,6.0,overtake,58.0,0.8571428571428571,2024-01,1.2202819272038712
2024-01-05,4775,271,296,43.812,2070.4,21.6,1.043,5.0,overtake,22.0,0.7142857142857143,2024-01,0.4607329842931937
2024-01-06,4781,271,296,45.298,2143.1,22.6,1.055,4.0,overtake,6.0,0.5714285714285714,2024-01,0.12549675800041832
2024-01-07,4795,272,296,46.273,2195.4,23.4,1.066,2.0,overtake,14.0,0.2857142857142857,2024-01,0.291970802919708
2024-01-08,4807,272,296,47.258,2247.5,24.2,1.077,1.0,overtake,12.0,0.14285714285714285,2024-01,0.249635947576451
2024-01-09,4820,272,296,48.28,2302.7,24.4,1.06,1.0,overtake,13.0,0.14285714285714285,2024-01,0.2697095435684647
2024-01-10,4824,273,296,48.868,2332.3,25.1,1.076,0.0,overtake,4.0,0.0,2024-01,0.08291873963515754
2024-01-11,4837,273,296,49.361,2362.3,25.3,1.071,1.0,overtake,13.0,0.14285714285714285,2024-01,0.26876162910895185
2024-01-12,4856,273,297,49.563,2381.4,25.4,1.067,1.0,overtake,19.0,0.14285714285714285,2024-01,0.39126853377265236
2024-01-13,4868,273,297,47.989,2312.2,23.9,1.034,2.0,overtake,12.0,0.2857142857142857,2024-01,0.24650780608052586
2024-01-14,4877,273,298,48.44,2338.4,24.0,1.026,2.0,overtake,9.0,0.2857142857142857,2024-01,0.18453967603034652
2024-01-15,4881,273,298,46.497,2247.4,22.1,0.983,2.0,overtake,4.0,0.2857142857142857,2024-01,0.08195041999590248
2024-01-16,4886,273,298,46.885,2268.6,22.2,0.979,2.0,overtake,5.0,0.2857142857142857,2024-01,0.1023331968890708
2024-01-17,4890,273,298,47.243,2288.0,22.2,0.97,2.0,overtake,4.0,0.2857142857142857,2024-01,0.081799591002045
2024-01-18,4895,273,298,47.675,2311.4,22.3,0.965,2.0,overtake,5.0,0.2857142857142857,2024-01,0.10214504596527069
2024-01-19,4904,273,299,48.036,2333.3,22.4,0.96,2.0,overtake,9.0,0.2857142857142857,2024-01,0.1835236541598695
2024-01-20,4921,274,299,45.832,2232.3,23.1,1.035,2.0,overtake,17.0,0.2857142857142857,2024-01,0.3454582401950823
2024-01-21,4987,274,300,45.925,2267.0,23.3,1.028,4.0,overtake,66.0,0.5714285714285714,2024-01,1.3234409464607981
2024-01-22,5026,274,302,47.867,2380.3,25.5,1.071,5.0,overtake,39.0,0.7142857142857143,2024-01,0.7759649820931158
2024-01-23,5048,274,303,39.261,1958.3,23.6,1.205,5.0,overtake,22.0,0.7142857142857143,2024-01,0.4358161648177496
2024-01-24,5063,274,305,40.115,2006.8,24.2,1.206,7.0,overtake,15.0,1.0,2024-01,0.2962670353545329
2024-01-25,5070,274,305,40.57,2032.6,24.3,1.196,6.0,overtake,7.0,0.8571428571428571,2024-01,0.13806706114398423
2024-01-26,5072,274,305,40.871,2048.6,24.4,1.191,6.0,overtake,2.0,0.8571428571428571,2024-01,0.03943217665615142
2024-01-27,5077,274,305,41.396,2077.1,24.6,1.184,6.0,overtake,5.0,0.8571428571428571,2024-01,0.09848335631278313
2024-01-28,5090,274,306,41.792,2102.6,24.6,1.17,4.0,overtake,13.0,0.5714285714285714,2024-01,0.2554027504911591
2024-01-29,5099,274,306,40.643,2048.1,24.3,1.186,3.0,overtake,9.0,0.42857142857142855,2024-01,0.1765051970974701
2024-01-30,5100,274,306,40.886,2060.8,24.4,1.184,3.0,overtake,1.0,0.42857142857142855,2024-01,0.0196078431372549
2024-01-31,5102,275,306,41.039,2069.2,24.6,1.189,1.0,overtake,2.0,0.14285714285714285,2024-01,0.03920031360250882
2024-02-01,5103,275,306,41.148,2075.2,24.6,1.185,1.0,overtake,1.0,0.14285714285714285,2024-02,0.01959631589261219
2024-02-02,5108,274,306,41.186,2079.2,24.6,1.183,1.0,overtake,5.0,0.14285714285714285,2024-02,0.09788566953797964
2024-02-03,5124,276,307,41.146,2083.7,24.6,1.181,1.0,overtake,16.0,0.14285714285714285,2024-02,0.312256049960968
2024-02-04,5146,277,307,41.036,2087.0,24.7,1.184,2.0,overtake,22.0,0.2857142857142857,2024-02,0.4275165176836378
2024-02-05,5168,279,309,33.202,1691.0,24.9,1.473,3.0,overtake,22.0,0.42857142857142855,2024-02,0.42569659442724456
