date,engagement,likes,reach,views,n_posts
2025-08-01,5.77,2691,48764,121571,1
2025-08-04,12.34,2008,17751,38783,1
2025-08-05,6.32,2457,40343,92445,1
2025-08-06,8.02,7377,96431,336845,1
2025-08-08,6.66,3873,61833,99503,1
2025-08-09,9.08,1734,20202,52167,1
2025-08-11,8.91,10246,124488,456631,1
2025-08-12,9.38,1624,17981,43268,1
2025-08-13,11.01,10568,99714,212821,1
2025-08-14,7.875,9916,132658,334178,2
2025-08-15,8.120000000000001,1069,14655,54494,2
2025-08-16,7.43,7096,91906,328197,4
2025-08-17,8.19,9726,138056,376842,3
2025-08-18,4.635,6758,149166,317140,2
2025-08-19,13.13,5307,41775,110484,1
2025-08-20,3.65,4000,131054,250998,1
2025-08-22,8.295,1928,22797,89615,2
2025-08-23,8.793333333333335,2516,26823,103542,3
2025-08-24,10.71,7763,82181,336235,2
2025-08-25,4.89,14495,359665,663901,2
2025-08-26,7.28,9484,142483,272885,1
2025-08-27,13.29,31451,278414,862826,2
2025-08-28,4.12,6284,173864,543944,1
2025-08-29,6.77,4751,78381,217249,1
2025-08-30,10.7,966,9362,84320,1
2025-08-31,15.09,2346,16647,79238,1
2025-09-01,11.28,653,5888,29183,1
2025-09-02,7.31,2066,31379,120878,1
2025-09-06,10.24,12486,117794,582677,4
2025-09-07,10.125,1474,15820,62869,2
2025-09-08,13.065,4355,28286,92563,2
2025-09-09,12.69,3047,25585,73449,1
2025-09-10,9.129999999999999,3539,41372,190674,2
2025-09-11,9.395,6637,85117,228308,2
2025-09-12,7.56,10323,182530,507630,3
2025-09-13,10.075,6992,66602,186110,4
2025-09-14,12.4475,11234,96299,291371,4
2025-09-15,9.62,807,8616,56399,1
2025-09-16,13.28,17426,147288,570185,1
2025-09-17,10.25,3799,38687,209021,1
2025-09-19,5.85,8658,165638,294293,1
2025-09-20,13.29,2707,21151,208394,1
2025-09-21,8.05,560,7130,56330,1
2025-09-22,8.21,709,9116,89578,1
2025-09-23,8.94,16410,199228,2383356,1
2025-09-24,13.91,2642,19886,137339,1
2025-09-25,12.83,1104,8985,47796,1
2025-09-26,10.34,26800,284237,764019,1
2025-09-28,16.2625,25844,178337,1684328,4
2025-09-30,11.61,23565,231072,1952695,1
2025-10-01,15.905000000000001,20161,134606,354386,2
2025-10-02,10.75,9070,92579,241465,1
2025-10-03,10.26,2976,31171,252971,1
2025-10-04,12.11,538,5186,21898,1
2025-10-05,15.450000000000001,10619,72071,286088,3
2025-10-06,5.6,7331,154261,506404,1
2025-10-07,5.57,1677,31543,116871,1
2025-10-08,12.09,9750,89728,267028,1
2025-10-09,11.76,1816,16746,52698,1
2025-10-10,10.4,2731,27444,114433,1
2025-10-11,11.59,3566,32855,120314,1
2025-10-12,18.59,4372,24240,113417,1
2025-10-13,10.02,7365,88154,237174,1
2025-10-14,5.64,9407,199029,512940,1
2025-10-15,10.89,5360,52048,115641,1
2025-10-16,7.08,10086,147968,815649,1
2025-10-17,12.8,891,7422,32869,1
2025-10-18,8.15,992,12614,40499,1
2025-10-19,10.79,18790,180766,502564,1
2025-10-20,12.44,2670,23000,60819,1
2025-10-21,11.12,1285,12171,87440,1
2025-10-22,3.88,930,25251,102662,1
2025-10-23,13.35,2353,18583,63757,1
2025-10-24,11.8,1346,11796,64124,1
2025-10-25,14.325,6355,39244,140876,2
2025-10-26,9.733333333333333,3337,42613,183940,3
2025-10-27,12.33,941,8095,43389,1
2025-10-28,13.43,1577,12856,80526,1
2025-10-29,9.16,5852,74645,214420,1
2025-10-30,18.13,2994,17869,58936,1
2025-10-31,8.3,23837,299148,901941,1
2025-11-01,5.92,3626,63791,144299,1
2025-11-02,7.65,5696,78139,359669,1
2025-11-03,24.62,18759,82123,500948,1
2025-11-04,6.29,2247,37321,89920,1
2025-11-05,6.24,3868,68306,158226,1
2025-11-06,10.64,8758,94052,204650,1
2025-11-07,5.62,241,4451,25447,1
2025-11-08,6.98,261,3927,22156,1
2025-11-09,6.23,273,4496,31357,1
2025-11-10,7.05,8847,143930,261816,1
2025-11-11,12.25,5001,43072,112640,1
2025-11-12,19.2,12050,68022,613300,1
2025-11-13,8.9,2149,25592,352505,1
2025-11-14,11.985,1106,10668,53255,2
2025-11-15,6.466666666666666,3328,44122,336803,3
2025-11-16,10.946666666666667,2396,21549,91449,3
2025-11-17,10.829999999999998,11506,114057,365770,3
2025-11-18,10.146666666666667,18522,196078,650900,3
2025-11-19,10.07,3348,34482,133868,1
2025-11-20,9.48,7498,98009,242918,1
2025-11-21,15.42,8056,61080,142071,1
2025-11-22,8.87,1423,16636,53940,1
2025-11-23,6.21,7985,136237,597566,1
2025-11-24,26.69,15389,71203,142430,1
2025-11-25,7.56,3004,41729,134978,1
2025-11-26,9.66,2851,32958,83248,1
2025-11-27,14.59,2119,15588,45735,1
2025-11-28,21.98,2689,13708,46804,1
2025-11-29,13.12,8131,85018,189385,1
2025-11-30,4.28,1631,42150,89512,1
2025-12-01,7.91,6687,87700,193540,1
2025-12-02,13.67,1131,8763,28085,1
2025-12-03,10.67,537,5406,17118,1
2025-12-04,13.05,5846,51957,125080,1
2025-12-05,5.44,2995,62031,183168,1
2025-12-07,7.92,421,5922,19757,1
2025-12-08,8.54,12783,154757,325624,1
2025-12-09,16.84,10456,66312,149852,1
2025-12-10,25.79,4651,20240,43507,1
2025-12-11,11.64,3155,28806,96928,1
2025-12-12,7.85,3671,51052,136118,1
2025-12-13,7.83,8217,160793,306621,1
2025-12-14,3.77,3946,120915,286267,1
2025-12-15,8.41,8975,115355,229246,1
2025-12-16,6.19,1175,22541,51048,1
2025-12-17,10.07,2286,25183,49007,1
2025-12-18,13.95,1355,12560,29372,1
2025-12-19,6.37,2333,38113,67243,1
2025-12-21,11.46,2256,26378,57229,1
2025-12-22,12.03,10311,102396,171754,1
2025-12-24,10.54,2455,25608,51617,1
2025-12-27,9.76,1107,13025,26841,1
2025-12-28,16.9,3711,23061,57401,1
2025-12-29,12.31,2683,23843,47298,1
2025-12-30,10.52,693,7165,14292,1
2026-01-01,12.675,12488,132213,282498,2
2026-01-02,11.59,1487,14026,27474,1
2026-01-03,5.98,577,10070,17949,1
2026-01-04,7.4,1665,24676,41936,1
2026-01-06,10.18,1442,14790,25979,1
2026-01-08,9.59,1817,23249,44337,1
2026-01-10,6.2,529,8886,15036,1
2026-01-13,5.8,8605,158576,255161,1
2026-01-14,7.72,4882,69027,116522,1
2026-01-15,8.14,365,4816,8599,1
2026-01-17,27.13,6646,27000,50450,1
2026-01-19,13.75,7449,57919,86305,1
2026-01-20,18.69,1999,13235,21974,1
2026-01-21,17.04,6256,40792,64845,1
2026-01-22,11.26,735,7892,14102,1
2026-01-23,14.5,10048,71861,123426,1
2026-01-24,15.27,2482,17077,28124,1
2026-01-25,3.32,1182,39470,60758,1
2026-01-26,9.86,3747,49347,84551,1
2026-01-27,7.68,664,9943,17932,1
2026-01-28,19.85,14198,79701,134569,1
2026-01-29,13.309999999999999,13781,142895,241562,2
2026-01-30,10.885,10654,115233,188481,4
2026-01-31,10.08,5056,59884,99660,1
2026-02-01,5.81,786,18357,31943,1
2026-02-02,8.49,4299,53709,90860,1
2026-02-03,12.13,2919,26725,40623,1
2026-02-04,15.1,12030,85468,166658,1
2026-02-05,10.64,8433,99119,223275,1
2026-02-06,10.45,1361,13499,22873,1
2026-02-07,9.57,2696,33151,58741,1
2026-02-08,6.08,5084,91065,134321,1
2026-02-09,7.13,936,13798,24474,1
2026-02-10,8.67,2404,30647,54987,1
2026-02-12,8.75,2219,29450,48862,2
2026-02-13,8.3,1309,17100,29421,1
2026-02-14,5.58,1483,29379,40706,1
2026-02-15,7.2,338,5014,9055,1
2026-02-16,6.07,1555,26617,41155,1
2026-02-17,8.11,472,6044,10973,1
2026-02-18,7.32,5666,88938,123445,1
2026-02-19,13.51,3658,27983,46336,1
2026-02-20,16.79,4488,27399,55435,1
2026-02-21,9.96,13462,146025,213215,3
2026-02-22,9.09,2447,31432,53797,2
2026-02-23,7.86,1214,14342,20867,2
2026-02-24,6.43,320,5182,9067,1
2026-02-25,14.12,2648,20617,34308,1
2026-02-26,8.04,6222,88871,126314,1
2026-02-27,9.23,1698,19881,35776,1
2026-02-28,12.174000000000001,26673,259782,390661,5
2026-03-01,15.15,16528,111793,181258,4
2026-03-02,9.26,8922,122797,202332,2
2026-03-03,13.28,6153,62071,100933,1
2026-03-04,15.05,1140,8504,14568,1
2026-03-05,15.85,1489,10580,19553,1
2026-03-06,16.6,2238,14551,23778,1
2026-03-07,11.09,1017,10306,19709,1
2026-03-08,14.14,5271,46226,79538,1
2026-03-09,21.66,1798,8561,15486,1
2026-03-10,5.52,813,18739,27064,1
2026-03-11,5.58,6798,130349,194691,1
2026-03-12,7.29,14197,210431,297121,1
2026-03-13,8.33,4462,58497,85948,1
2026-03-14,7.57,2525,46836,77866,1
2026-03-15,14.86,4081,29199,49637,1
2026-03-16,12.82,495,4010,6793,1
2026-03-17,15.91,13960,119003,170109,1
2026-03-18,9.94,3609,41237,61695,1
2026-03-19,10.26,2043,20841,37480,1
2026-03-20,10.786,10477,113539,170982,5
2026-03-21,7.445,7722,112731,166309,2
2026-03-22,12.2325,5077,46285,68279,4
2026-03-23,9.825,4954,54344,90824,2
2026-03-26,7.475,3025,43449,73529,2
2026-03-27,8.54,7675,132562,201613,4
2026-03-28,10.678571428571429,9762,106044,174956,7
2026-03-29,9.15,48983,577323,855277,2
2026-03-30,12.896666666666667,8608,70235,126307,3
2026-03-31,12.925,14830,170633,260938,2
2026-04-01,8.75,689,8324,16563,1
