date,followers_count,following_count,media_count,engagement_rate,average_likes,average_comments,comments_to_likes_ratio,weekly_posts
2026-05-27,79505,308,2621,1.617%,1241.1,44.1,3.553%,5.00
2026-05-26,79503,308,2621,1.617%,1241.1,44.1,3.553%,5.00
2026-05-25,79504,308,2618,1.611%,1236.8,44.1,3.566%,6.00
2026-05-24,79508,308,2616,1.458%,1121.0,38.6,3.443%,24.00
2026-05-23,79503,308,2616,1.453%,1116.6,38.2,3.421%,27.00
2026-05-22,79486,308,2616,1.494%,1149.8,37.9,3.296%,32.00
2026-05-21,79486,307,2615,1.530%,1177.6,38.9,3.303%,38.00
2026-05-20,79492,307,2614,1.580%,1215.5,40.1,3.299%,43.00
2026-05-19,79485,307,2612,1.454%,1121.2,34.4,3.068%,66.00
2026-05-18,79452,307,2611,0.859%,663.4,19.0,2.864%,75.00
2026-05-17,79306,307,2607,0.446%,347.3,6.5,1.872%,64.00
2026-05-16,79038,307,2591,0.563%,436.5,8.5,1.947%,32.00
2026-05-15,79004,306,2584,1.080%,837.0,16.2,1.935%,34.00
2026-05-14,78987,306,2574,0.974%,750.8,18.5,2.464%,35.00
2026-05-13,78963,306,2566,0.856%,656.0,19.9,3.034%,40.00
2026-05-12,78945,301,2566,0.785%,601.8,18.0,2.991%,44.00
2026-05-11,78940,301,2564,0.498%,376.3,17.0,4.518%,56.00
2026-05-10,78890,301,2561,0.322%,243.5,10.8,4.435%,74.00
2026-05-09,78752,301,2551,0.523%,401.3,10.8,2.691%,17.00
2026-05-08,78741,301,2539,0.581%,444.2,13.5,3.039%,14.00
2026-05-07,78835,302,2534,0.582%,445.1,13.7,3.078%,7.00
2026-05-06,78840,302,2530,0.637%,487.3,14.9,3.058%,7.00
2026-05-05,79064,302,2528,0.631%,483.7,14.8,3.060%,9.00
2026-05-04,79054,302,2525,0.735%,564.1,17.2,3.049%,8.00
2026-05-03,79060,302,2525,0.667%,511.6,15.9,3.108%,20.00
2026-05-02,79054,302,2524,0.805%,614.2,22.0,3.582%,24.00
2026-05-01,79045,302,2523,0.904%,691.7,22.8,3.296%,29.00
2026-04-30,79038,302,2523,0.930%,704.6,30.6,4.343%,38.00
2026-04-29,79014,302,2521,0.918%,695.0,30.5,4.388%,48.00
2026-04-28,78992,302,2517,0.937%,709.1,30.9,4.358%,53.00
2026-04-27,78988,302,2515,0.909%,683.0,35.2,5.154%,71.00
2026-04-26,78932,302,2511,0.432%,327.2,13.8,4.218%,82.00
2026-04-25,78824,302,2498,0.811%,603.8,35.8,5.929%,17.00
2026-04-24,78781,302,2488,0.877%,661.0,30.3,4.584%,11.00
2026-04-23,78752,302,2484,0.767%,590.0,14.1,2.390%,8.00
2026-04-22,78738,302,2480,0.749%,575.6,13.8,2.397%,8.00
2026-04-21,78703,302,2478,0.636%,488.5,11.7,2.395%,7.00
2026-04-20,78696,302,2478,0.567%,436.1,10.3,2.362%,8.00
2026-04-19,78684,302,2476,0.474%,366.2,6.7,1.830%,7.00
