date,followers_count,following_count,media_count,engagement_rate,average_likes,average_comments,comments_to_likes_ratio,weekly_posts
2026-05-27,18059498,214,27658,0.136%,24421.4,97.5,0.399%,46.00
2026-05-26,18058323,214,27654,0.104%,18784.6,72.1,0.384%,41.00
2026-05-25,18057345,214,27643,0.173%,31139.7,163.8,0.526%,37.00
2026-05-24,18056511,214,27639,0.195%,34954.5,181.7,0.520%,32.00
2026-05-23,18055509,214,27638,0.234%,42005.1,233.3,0.555%,34.00
2026-05-22,18054551,214,27635,0.199%,35754.0,192.7,0.539%,40.00
2026-05-21,18053658,214,27621,0.273%,48957.6,271.9,0.555%,48.00
2026-05-20,18052705,214,27615,0.317%,56758.8,405.4,0.714%,65.00
2026-05-19,18051281,214,27610,0.431%,77161.0,674.4,0.874%,100.00
2026-05-18,18046926,214,27605,0.076%,13739.0,49.0,0.357%,184.00
2026-05-17,18034414,214,27589,0.059%,10477.0,109.0,1.040%,343.00
2026-05-16,18020205,214,27556,0.072%,12899.0,32.0,0.248%,261.00
2026-05-15,18016016,214,27528,0.103%,18510.7,39.3,0.212%,83.00
2026-05-14,18013448,214,27504,0.129%,23219.6,98.6,0.425%,63.00
2026-05-13,18005656,214,27491,0.172%,30767.1,248.9,0.809%,74.00
2026-05-12,18002167,214,27477,0.316%,56641.0,227.0,0.401%,78.00
2026-05-11,18001631,214,27469,0.800%,143167.0,860.0,0.601%,168.00
2026-05-10,17998146,214,27457,0.155%,27551.0,336.0,1.220%,182.00
2026-05-09,17988982,213,27426,0.082%,14766.0,36.0,0.244%,261.00
2026-05-08,17981138,212,27396,0.254%,45381.1,266.8,0.588%,63.00
2026-05-07,18026762,212,27376,0.161%,29006.3,94.9,0.327%,31.00
2026-05-06,18021460,212,27357,0.098%,17571.1,61.9,0.352%,31.00
2026-05-05,18143526,212,27352,0.092%,16716.4,61.7,0.369%,28.00
2026-05-04,18143837,212,27342,0.107%,19243.2,124.4,0.646%,28.00
2026-05-03,18143828,212,27337,0.162%,29180.6,153.8,0.527%,34.00
2026-05-02,18143425,212,27335,0.191%,34540.9,181.6,0.526%,38.00
2026-05-01,18142905,212,27335,0.199%,36002.6,183.4,0.509%,47.00
2026-04-30,18142439,212,27333,0.222%,40187.7,175.1,0.436%,53.00
2026-04-29,18142398,212,27325,0.221%,39914.4,146.2,0.366%,88.00
2026-04-28,18142819,212,27317,0.172%,30983.0,229.0,0.739%,98.00
2026-04-27,18141478,212,27306,0.123%,22220.0,122.0,0.549%,174.00
2026-04-26,18139794,212,27289,0.147%,26569.0,86.0,0.324%,268.00
2026-04-25,18133275,212,27262,0.155%,27868.0,151.0,0.542%,365.00
2026-04-24,18128144,212,27228,0.208%,37553.0,88.0,0.234%,121.00
2026-04-23,18123883,212,27210,0.248%,44489.3,374.9,0.843%,68.00
