key,value,metric
"Samarinda, East Kalimantan",0.25,city
"Banyumas, Central Java",0.22,city
"Madrid, Comunidad de Madrid",0.65,city
"Sialkot, Punjab",0.22,city
"Barcelona, Cataluña",0.61,city
"Jakarta, Jakarta",2.56,city
"Lisbon, Lisbon District",0.19,city
"Bangkok, Bangkok",0.61,city
"Malang, East Java",0.27,city
"Valencia, Comunidad Valenciana",0.26,city
"Istanbul, Istanbul Province",0.26,city
"Singapore, Singapore",0.29,city
"Santiago, Santiago Metropolitan Region",0.22,city
"Depok, West Java",0.52,city
"Pekanbaru, Riau",0.25,city
"Kuala Lumpur, Kuala Lumpur",0.37,city
"Bogotá, Distrito Especial",0.22,city
"Balikpapan, East Kalimantan",0.19,city
"Shah Alam, Selangor",0.22,city
"Chennai, Tamil Nadu",0.33,city
"Padang, West Sumatra",0.22,city
"Banda Aceh, Aceh",0.3,city
"Pontianak, West Kalimantan",0.2,city
"São Paulo, São Paulo (state)",0.45,city
"Surabaya, East Java",0.69,city
"Batam, Riau Islands Province",0.24,city
"Palembang, South Sumatra",0.25,city
"Sydney, New South Wales",0.26,city
"Mexico City, Distrito Federal",0.2,city
"Caracas, Capital District",0.24,city
"Goiânia, Goiás",0.19,city
"Gresik, East Java",0.19,city
"Melbourne, Victoria",0.34,city
"Belgrade, Central Serbia",0.28,city
"Denpasar, Bali",0.28,city
"Bekasi, West Java",0.65,city
"Makassar, South Sulawesi",0.26,city
"Hong Kong, Hong Kong",0.22,city
"Bangalore, Karnataka",0.36,city
"Semarang, Central Java",0.49,city
"Tangerang, Banten",0.35,city
"Bandung, West Java",0.7,city
"Medan, North Sumatra",0.25,city
"Rome, Lazio",0.23,city
"Bandar Lampung, Lampung",0.22,city
