key,value,metric
DE,2.8,country
RS,0.79,country
TW,0.99,country
BE,0.54,country
PT,3.36,country
JP,1.12,country
HR,0.24,country
DO,1.04,country
FR,6.32,country
HU,0.44,country
BR,4.51,country
SE,0.28,country
SG,0.29,country
SI,0.3,country
ID,28.07,country
GB,3.76,country
SN,0.22,country
IE,0.23,country
US,3.37,country
CA,0.33,country
IN,3.11,country
CH,0.7,country
ZA,0.67,country
CL,0.43,country
IR,0.28,country
IT,6.09,country
MX,0.83,country
CN,0.45,country
GR,0.41,country
MY,3.78,country
CO,0.97,country
ES,10.47,country
AO,0.26,country
VE,0.99,country
AR,1.64,country
AT,0.98,country
TH,2.24,country
AU,1.51,country
CZ,0.74,country
PH,0.7,country
PK,0.35,country
PL,0.69,country
RO,0.45,country
NL,1.21,country
TR,1.09,country
